kecamatan_subdistrict;name;nomor_komoditas;x2020;x2021;x2022;x2023;tabel
Alok Barat;cabai_rawit_chili_cayenne_pepper_kw_qui;4;259;8;80;10;5.2
Alok Barat;kentang_potato_kw_qui;5;-;-;-;-;5.2
Alok Barat;kubis_cabbage_kw_qui;6;-;-;-;-;5.2
Alok Barat;tomat_tomato_kw_qui;7;1.377;90;346;47;5.2
Alok Barat;bawang_putih_garlic_kw_qui;8;-;-;-;-;5.2
Alok Barat;jahe_ginger_m2_m2;1;3;-;-;-;5.3
Alok Barat;laos_lengkuas_galanga_m2_m2;2;4;-;-;-;5.3
Alok Barat;kencur_east_indian_galangal_m2_m2;3;-;-;-;-;5.3
Alok Barat;kunyit_turmeric_m2_m2;4;2;-;-;-;5.3
Alok Barat;jahe_ginger_kg_kg;1;18;-;-;-;5.4
Alok Barat;laos_lengkuas_galanga_kg_kg;2;20;-;-;-;5.4
Alok Barat;kencur_east_indian_galangal_kg_kg;3;-;-;-;-;5.4
Alok Barat;kunyit_turmeric_kg_kg;4;10;-;-;-;5.4
Alok Barat;anggrek_pot_orchid_potted_orchid_m2_m2;1;NA;-;-;-;5.5
Alok Barat;anggrek_potong_cut_orchid_m2_m2;2;NA;-;-;-;5.5
Alok Barat;krisan_chrysantemum_m2_m2;3;-;-;-;-;5.5
Alok Barat;mawar_rose_m2_m2;4;-;-;-;-;5.5
Alok Barat;sedap_malam_tuberose_m2_m2;5;-;-;-;-;5.5
Alok Barat;anthurium_bunga_flamingo_lily_flower_m2_m2;6;-;-;-;-;5.5
Alok Barat;bugenvil_m2_m2;7;NA;-;-;-;5.5
Alok Barat;palem_palm_pohon_tree;8;-;-;-;-;5.5
Alok Barat;pedang_pedangan_sanseviera_m2_m2;9;-;-;-;-;5.5
Alok Barat;pisang_pisangan_heliconia_m2_m2;10;-;-;-;-;5.5
Alok Barat;puring_croton_m2_m2;11;NA;-;-;-;5.5
Alok Barat;soka_ixora_m2_m2;12;-;-;-;-;5.5
Alok Barat;sri_rejeki_aglaonema_m2_m2;13;-;-;-;-;5.5
Alok Barat;anggrek_potong_cut_orchid_tangkai_stalks;2;NA;-;-;-;5.6
