"kecamatan";"tabel";"tingkat_nama";"tingkat_angka";"negeri_TA_2022_2023";"negeri_TA_2023_2024";"swasta_TA_2022_2023";"swasta_TA_2023_2024";"total_TA_2022_2023";"total_TA_2023_2024"
"Palue";"sekolah";"SMK";"8";"-";"-";"-";"-";"-";"-"
"Palue";"sekolah";"MA";"9";"-";"-";"-";"-";"-";"-"
"Sikka";"guru";"SD";"3";"1.952";"2.050";"1.326";"1.218";"3.278";"3.268"
"Sikka";"guru";"MI";"4";"43";"53";"83";"91";"126";"144"
"Sikka";"guru";"SMP";"5";"828";"884";"609";"599";"1.437";"1.483"
"Sikka";"guru";"MTs";"6";"-";"-";"90";"93";"90";"93"
"Sikka";"guru";"SMA";"7";"404";"426";"321";"296";"725";"722"
"Sikka";"guru";"SMK";"8";"218";"239";"390";"411";"608";"650"
"Sikka";"guru";"MA";"9";"-";"-";"41";"57";"41";"57"
"Sikka";"murid";"SD";"3";"21.162";"21.508";"16.701";"15.363";"37.863";"36.871"
"Sikka";"murid";"MI";"4";"513";"478";"1.271";"1.246";"1.784";"1.724"
"Sikka";"murid";"SMP";"5";"9.228";"9.233";"8.197";"7.792";"17.425";"17.025"
"Sikka";"murid";"MTs";"6";"-";"-";"1.042";"999";"1.042";"999"
"Sikka";"murid";"SMA";"7";"5.716";"5.824";"3.260";"3.306";"8.976";"9.130"
"Sikka";"murid";"SMK";"8";"2.939";"2.994";"5.095";"4.991";"8.034";"7.985"
"Sikka";"murid";"MA";"9";"-";"-";"526";"512";"526";"512"
"Sikka";"sekolah";"SD";"3";"191";"199";"145";"137";"336";"336"
"Sikka";"sekolah";"MI";"4";"2";"2";"6";"6";"8";"8"
"Sikka";"sekolah";"SMP";"5";"45";"47";"42";"42";"87";"89"
"Sikka";"sekolah";"MTs";"6";"-";"-";"6";"6";"6";"6"
"Sikka";"sekolah";"SMA";"7";"12";"12";"12";"12";"24";"24"
"Sikka";"sekolah";"SMK";"8";"4";"4";"17";"17";"21";"21"
"Sikka";"sekolah";"MA";"9";"-";"-";"3";"3";"3";"3"
"Talibura";"guru";"SD";"3";"148";"161";"87";"78";"235";"239"
"Talibura";"guru";"MI";"4";"-";"-";"13";"13";"13";"13"
"Talibura";"guru";"SMP";"5";"48";"74";"42";"39";"90";"113"
"Talibura";"guru";"MTs";"6";"-";"-";"16";"15";"16";"15"
"Talibura";"guru";"SMA";"7";"43";"49";"-";"-";"43";"49"
"Talibura";"guru";"SMK";"8";"44";"48";"-";"-";"44";"48"
"Talibura";"guru";"MA";"9";"-";"-";"-";"-";"-";"-"
"Talibura";"murid";"SD";"3";"1.648";"1.709";"1.127";"999";"2.775";"2.708"
"Talibura";"murid";"MI";"4";"-";"-";"124";"117";"124";"117"
"Talibura";"murid";"SMP";"5";"528";"598";"510";"477";"1.038";"1.075"
"Talibura";"murid";"MTs";"6";"-";"-";"124";"102";"124";"102"
"Talibura";"murid";"SMA";"7";"701";"708";"-";"-";"701";"708"
"Talibura";"murid";"SMK";"8";"321";"311";"-";"-";"321";"311"
"Talibura";"murid";"MA";"9";"-";"-";"-";"-";"-";"-"
"Talibura";"sekolah";"SD";"3";"15";"16";"11";"10";"26";"26"
"Talibura";"sekolah";"MI";"4";"-";"-";"1";"1";"1";"1"
"Talibura";"sekolah";"SMP";"5";"3";"5";"3";"3";"6";"8"
"Talibura";"sekolah";"MTs";"6";"-";"-";"1";"1";"1";"1"
"Talibura";"sekolah";"SMA";"7";"1";"1";"-";"-";"1";"1"
"Talibura";"sekolah";"SMK";"8";"1";"1";"-";"-";"1";"1"
"Talibura";"sekolah";"MA";"9";"-";"-";"-";"-";"-";"-"
"Tana Wawo";"guru";"SD";"3";"96";"101";"44";"44";"140";"145"
"Tana Wawo";"guru";"MI";"4";"-";"-";"-";"-";"-";"-"
"Tana Wawo";"guru";"SMP";"5";"34";"34";"12";"12";"46";"46"
"Tana Wawo";"guru";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Tana Wawo";"guru";"SMA";"7";"-";"-";"-";"-";"-";"-"
"Tana Wawo";"guru";"SMK";"8";"-";"-";"-";"-";"-";"-"
"Tana Wawo";"guru";"MA";"9";"-";"-";"-";"-";"-";"-"
"Tana Wawo";"murid";"SD";"3";"932";"925";"537";"501";"1.469";"1.426"
"Tana Wawo";"murid";"MI";"4";"-";"-";"-";"-";"-";"-"
"Tana Wawo";"murid";"SMP";"5";"372";"356";"175";"182";"547";"538"
"Tana Wawo";"murid";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Tana Wawo";"murid";"SMA";"7";"-";"-";"-";"-";"-";"-"
"Tana Wawo";"murid";"SMK";"8";"-";"-";"-";"-";"-";"-"
"Tana Wawo";"murid";"MA";"9";"-";"-";"-";"-";"-";"-"
"Tana Wawo";"sekolah";"SD";"3";"11";"11";"6";"6";"17";"17"
"Tana Wawo";"sekolah";"MI";"4";"-";"-";"-";"-";"-";"-"
"Tana Wawo";"sekolah";"SMP";"5";"2";"2";"1";"1";"3";"3"
"Tana Wawo";"sekolah";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Tana Wawo";"sekolah";"SMA";"7";"-";"-";"-";"-";"-";"-"
"Tana Wawo";"sekolah";"SMK";"8";"-";"-";"-";"-";"-";"-"
"Tana Wawo";"sekolah";"MA";"9";"-";"-";"-";"-";"-";"-"
"Waiblama";"guru";"SD";"3";"39";"48";"49";"41";"88";"89"
"Waiblama";"guru";"MI";"4";"-";"-";"-";"-";"-";"-"
"Waiblama";"guru";"SMP";"5";"45";"41";"-";"-";"45";"41"
"Waiblama";"guru";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Waiblama";"guru";"SMA";"7";"17";"18";"-";"-";"17";"18"
"Waiblama";"guru";"SMK";"8";"-";"-";"-";"-";"-";"-"
"Waiblama";"guru";"MA";"9";"-";"-";"-";"-";"-";"-"
"Waiblama";"murid";"SD";"3";"404";"483";"675";"540";"1.079";"1.023"
"Waiblama";"murid";"MI";"4";"-";"-";"-";"-";"-";"-"
"Waiblama";"murid";"SMP";"5";"401";"387";"-";"-";"401";"387"
"Waiblama";"murid";"MTs";"6";"-";"-";"-";"-";"-";"-"
