"kecamatan";"tabel";"tingkat_nama";"tingkat_angka";"negeri_TA_2022_2023";"negeri_TA_2023_2024";"swasta_TA_2022_2023";"swasta_TA_2023_2024";"total_TA_2022_2023";"total_TA_2023_2024"
"Kewapante";"guru";"MI";"4";"-";"-";"-";"-";"-";"-"
"Kewapante";"guru";"SMP";"5";"32";"35";"27";"27";"59";"62"
"Kewapante";"guru";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Kewapante";"guru";"SMA";"7";"-";"-";"21";"19";"21";"19"
"Kewapante";"guru";"SMK";"8";"-";"-";"31";"36";"31";"36"
"Kewapante";"guru";"MA";"9";"-";"-";"-";"-";"-";"-"
"Kewapante";"murid";"SD";"3";"751";"761";"1.031";"1.001";"1.782";"1.762"
"Kewapante";"murid";"MI";"4";"-";"-";"-";"-";"-";"-"
"Kewapante";"murid";"SMP";"5";"384";"384";"300";"271";"684";"655"
"Kewapante";"murid";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Kewapante";"murid";"SMA";"7";"-";"-";"165";"138";"165";"138"
"Kewapante";"murid";"SMK";"8";"-";"-";"240";"206";"240";"206"
"Kewapante";"murid";"MA";"9";"-";"-";"-";"-";"-";"-"
"Kewapante";"sekolah";"SD";"3";"5";"5";"8";"8";"13";"13"
"Kewapante";"sekolah";"MI";"4";"-";"-";"-";"-";"-";"-"
"Kewapante";"sekolah";"SMP";"5";"2";"2";"2";"2";"4";"4"
"Kewapante";"sekolah";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Kewapante";"sekolah";"SMA";"7";"-";"-";"1";"1";"1";"1"
"Kewapante";"sekolah";"SMK";"8";"-";"-";"2";"2";"2";"2"
"Kewapante";"sekolah";"MA";"9";"-";"-";"-";"-";"-";"-"
"Koting";"guru";"SD";"3";"47";"43";"32";"32";"79";"75"
"Koting";"guru";"MI";"4";"-";"-";"-";"-";"-";"-"
"Koting";"guru";"SMP";"5";"-";"-";"12";"12";"12";"12"
"Koting";"guru";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Koting";"guru";"SMA";"7";"-";"-";"-";"-";"-";"-"
"Koting";"guru";"SMK";"8";"-";"-";"-";"-";"-";"-"
"Koting";"guru";"MA";"9";"-";"-";"-";"-";"-";"-"
"Koting";"murid";"SD";"3";"318";"311";"276";"255";"594";"566"
"Koting";"murid";"MI";"4";"-";"-";"-";"-";"-";"-"
"Koting";"murid";"SMP";"5";"-";"-";"177";"154";"177";"154"
"Koting";"murid";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Koting";"murid";"SMA";"7";"-";"-";"-";"-";"-";"-"
"Koting";"murid";"SMK";"8";"-";"-";"-";"-";"-";"-"
"Koting";"murid";"MA";"9";"-";"-";"-";"-";"-";"-"
"Koting";"sekolah";"SD";"3";"5";"5";"4";"4";"9";"9"
"Koting";"sekolah";"MI";"4";"-";"-";"-";"-";"-";"-"
"Koting";"sekolah";"SMP";"5";"-";"-";"1";"1";"1";"1"
"Koting";"sekolah";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Koting";"sekolah";"SMA";"7";"-";"-";"-";"-";"-";"-"
"Koting";"sekolah";"SMK";"8";"-";"-";"-";"-";"-";"-"
"Koting";"sekolah";"MA";"9";"-";"-";"-";"-";"-";"-"
"Lela";"guru";"SD";"3";"59";"55";"80";"76";"139";"131"
"Lela";"guru";"MI";"4";"-";"-";"-";"-";"-";"-"
"Lela";"guru";"SMP";"5";"32";"34";"11";"10";"43";"44"
"Lela";"guru";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Lela";"guru";"SMA";"7";"-";"-";"-";"-";"-";"-"
"Lela";"guru";"SMK";"8";"-";"-";"17";"19";"17";"19"
"Lela";"guru";"MA";"9";"-";"-";"-";"-";"-";"-"
"Lela";"murid";"SD";"3";"492";"497";"764";"747";"1.256";"1.244"
"Lela";"murid";"MI";"4";"-";"-";"-";"-";"-";"-"
"Lela";"murid";"SMP";"5";"343";"333";"204";"172";"547";"505"
"Lela";"murid";"MTs";"6";"-";"-";"-";"-";"-";"-"
"Lela";"murid";"SMA";"7";"-";"-";"-";"-";"-";"-"
"Lela";"murid";"SMK";"8";"-";"-";"134";"136";"134";"136"
"Lela";"murid";"MA";"9";"-";"-";"-";"-";"-";"-"
"Lela";"sekolah";"SD";"3";"6";"6";"9";"9";"15";"15"
"Lela";"sekolah";"MI";"4";"-";"-";"-";"-";"-";"-"
"Lela";"sekolah";"SMP";"5";"2";"2";"1";"1";"3";"3"
"Lela";"sekolah";"MTs";"6";"-";"-";"-";"-";"-";"-"
