"kecamatan_subdistrict";"name";"nomor_komoditas";"x2020";"x2021";"x2022";"x2023"
"Hewokloang";"anggrek_potong_cut_orchid_m2_m2";"2";NA;"-";"-";"-"
"Hewokloang";"krisan_chrysantemum_m2_m2";"3";"-";"-";"-";"-"
"Hewokloang";"mawar_rose_m2_m2";"4";"-";"-";"-";"-"
"Hewokloang";"sedap_malam_tuberose_m2_m2";"5";"-";"-";"-";"-"
"Hewokloang";"anthurium_bunga_flamingo_lily_flower_m2_m2";"6";"-";"-";"-";"-"
"Hewokloang";"bugenvil_m2_m2";"7";NA;"-";"-";"-"
"Hewokloang";"palem_palm_pohon_tree";"8";"-";"-";"-";"-"
"Hewokloang";"pedang_pedangan_sanseviera_m2_m2";"9";"-";"-";"-";"-"
"Hewokloang";"pisang_pisangan_heliconia_m2_m2";"10";"-";"-";"-";"-"
"Hewokloang";"puring_croton_m2_m2";"11";NA;"-";"-";"-"
"Hewokloang";"soka_ixora_m2_m2";"12";"-";"-";"-";"-"
"Hewokloang";"sri_rejeki_aglaonema_m2_m2";"13";"-";"-";"-";"-"
"Kangae";"anggrek_pot_orchid_potted_orchid_m2_m2";"1";NA;"-";"-";"-"
"Kangae";"anggrek_potong_cut_orchid_m2_m2";"2";NA;"-";"-";"-"
"Kangae";"krisan_chrysantemum_m2_m2";"3";"-";"-";"-";"-"
"Kangae";"mawar_rose_m2_m2";"4";"-";"-";"-";"-"
"Kangae";"sedap_malam_tuberose_m2_m2";"5";"-";"-";"-";"-"
"Kangae";"anthurium_bunga_flamingo_lily_flower_m2_m2";"6";"-";"-";"-";"-"
"Kangae";"bugenvil_m2_m2";"7";NA;"-";"-";"-"
"Kangae";"palem_palm_pohon_tree";"8";"-";"-";"-";"-"
"Kangae";"pedang_pedangan_sanseviera_m2_m2";"9";"-";"-";"-";"-"
"Kangae";"pisang_pisangan_heliconia_m2_m2";"10";"-";"-";"-";"-"
"Kangae";"puring_croton_m2_m2";"11";NA;"-";"-";"-"
"Kangae";"soka_ixora_m2_m2";"12";"-";"-";"-";"-"
"Kangae";"sri_rejeki_aglaonema_m2_m2";"13";"-";"-";"-";"-"
"Kewapante";"anggrek_pot_orchid_potted_orchid_m2_m2";"1";NA;"-";"-";"-"
"Kewapante";"anggrek_potong_cut_orchid_m2_m2";"2";NA;"-";"-";"-"
"Kewapante";"krisan_chrysantemum_m2_m2";"3";"-";"-";"-";"-"
"Kewapante";"mawar_rose_m2_m2";"4";"-";"-";"-";"-"
"Kewapante";"sedap_malam_tuberose_m2_m2";"5";"-";"-";"-";"-"
"Kewapante";"anthurium_bunga_flamingo_lily_flower_m2_m2";"6";"-";"-";"-";"-"
"Kewapante";"bugenvil_m2_m2";"7";NA;"-";"-";"-"
"Kewapante";"palem_palm_pohon_tree";"8";"-";"-";"-";"-"
"Kewapante";"pedang_pedangan_sanseviera_m2_m2";"9";"-";"-";"-";"-"
"Kewapante";"pisang_pisangan_heliconia_m2_m2";"10";"-";"-";"-";"-"
"Kewapante";"puring_croton_m2_m2";"11";NA;"-";"-";"-"
"Kewapante";"soka_ixora_m2_m2";"12";"-";"-";"-";"-"
"Kewapante";"sri_rejeki_aglaonema_m2_m2";"13";"-";"-";"-";"-"
"Koting";"anggrek_pot_orchid_potted_orchid_m2_m2";"1";NA;"-";"-";"-"
"Koting";"anggrek_potong_cut_orchid_m2_m2";"2";NA;"-";"-";"-"
"Koting";"krisan_chrysantemum_m2_m2";"3";"-";"-";"-";"-"
"Koting";"mawar_rose_m2_m2";"4";"-";"-";"-";"-"
"Koting";"sedap_malam_tuberose_m2_m2";"5";"-";"-";"-";"-"
"Koting";"anthurium_bunga_flamingo_lily_flower_m2_m2";"6";"-";"-";"-";"-"
"Koting";"bugenvil_m2_m2";"7";NA;"-";"-";"1"
"Koting";"palem_palm_pohon_tree";"8";"-";"-";"-";"-"
"Koting";"pedang_pedangan_sanseviera_m2_m2";"9";"-";"-";"-";"5"
"Koting";"pisang_pisangan_heliconia_m2_m2";"10";"-";"-";"-";"3"
"Koting";"puring_croton_m2_m2";"11";NA;"-";"-";"-"
"Koting";"soka_ixora_m2_m2";"12";"-";"-";"-";"-"
"Koting";"sri_rejeki_aglaonema_m2_m2";"13";"-";"-";"-";"-"
"Lela";"anggrek_pot_orchid_potted_orchid_m2_m2";"1";NA;"-";"-";"-"
"Lela";"anggrek_potong_cut_orchid_m2_m2";"2";NA;"-";"-";"-"
"Lela";"krisan_chrysantemum_m2_m2";"3";"-";"-";"-";"-"
"Lela";"mawar_rose_m2_m2";"4";"-";"-";"-";"-"
"Lela";"sedap_malam_tuberose_m2_m2";"5";"-";"-";"-";"-"
"Lela";"anthurium_bunga_flamingo_lily_flower_m2_m2";"6";"-";"-";"-";"-"
"Lela";"bugenvil_m2_m2";"7";NA;"-";"-";"-"
"Lela";"palem_palm_pohon_tree";"8";"-";"-";"-";"-"
"Lela";"pedang_pedangan_sanseviera_m2_m2";"9";"-";"-";"-";"-"
"Lela";"pisang_pisangan_heliconia_m2_m2";"10";"-";"-";"-";"-"
"Lela";"puring_croton_m2_m2";"11";NA;"-";"-";"-"
"Lela";"soka_ixora_m2_m2";"12";"-";"-";"-";"-"
"Lela";"sri_rejeki_aglaonema_m2_m2";"13";"-";"-";"-";"-"
"Magepanda";"anggrek_pot_orchid_potted_orchid_m2_m2";"1";NA;"-";"-";"-"
"Magepanda";"anggrek_potong_cut_orchid_m2_m2";"2";NA;"-";"-";"-"
"Magepanda";"krisan_chrysantemum_m2_m2";"3";"-";"-";"-";"-"
"Magepanda";"mawar_rose_m2_m2";"4";"-";"-";"-";"-"
"Magepanda";"sedap_malam_tuberose_m2_m2";"5";"-";"-";"-";"-"
"Magepanda";"anthurium_bunga_flamingo_lily_flower_m2_m2";"6";"-";"-";"-";"-"
"Magepanda";"bugenvil_m2_m2";"7";NA;"-";"-";"-"
