"kecamatan_subdistrict";"name";"nomor_komoditas";"x2020";"x2021";"x2022";"x2023"
"Alok";"mangga_mango_kw_qui";"1";"2.400";"560";"2.730";"648"
"Alok";"durian_durian_kw_qui";"2";"-";"-";"-";"-"
"Alok";"jeruk_siam_keprok_orange_tangerine_kw_qui";"3";"105";"452";"-";"-"
"Alok";"pisang_banana_kw_qui";"4";"7.220";"633";"2.069";"5.086"
"Alok";"pepaya_papaya_kw_qui";"5";"2.855";"2.300";"845";"906"
"Alok";"salak_snakefruit_kw_qui";"6";"-";"-";"-";"-"
"Alok";"alpukat_avocado_kw_qui";"7";"301";"1.076";"2.120";"397"
"Alok";"jambu_biji_guava_kw_qui";"8";"359";"4.279";"440";"300"
"Alok";"nangka_cempedak_jackfruit_kw_qui";"9";"-";"-";"-";"-"
"Alok";"nenas_pineapple_kw_qui";"10";"-";"-";"-";"-"
"Alok";"rambutan_rambutan_kw_qui";"11";"-";"-";"-";"-"
"Alok";"salak_snakefruit_kw_qui";"12";"-";"-";"-";"-"
"Alok";"sirsak_soursop_kw_qui";"13";"295";"225";"320";"2.070"
"Alok Barat";"mangga_mango_kw_qui";"1";"3.874";"788";"907";"537"
"Alok Barat";"durian_durian_kw_qui";"2";"-";"-";"-";"-"
"Alok Barat";"jeruk_siam_keprok_orange_tangerine_kw_qui";"3";"-";"-";"-";"-"
"Alok Barat";"pisang_banana_kw_qui";"4";"2.567";"2.705";"4.708";"2.220"
"Alok Barat";"pepaya_papaya_kw_qui";"5";"12.778";"7.967";"6.408";"3.431"
"Alok Barat";"salak_snakefruit_kw_qui";"6";"-";"-";"-";"-"
"Alok Barat";"alpukat_avocado_kw_qui";"7";"42";"73";"68";"70"
"Alok Barat";"jambu_biji_guava_kw_qui";"8";"81";"156";"150";"122"
"Alok Barat";"nangka_cempedak_jackfruit_kw_qui";"9";"1.056";"657";"321";"213"
"Alok Barat";"nenas_pineapple_kw_qui";"10";"63";"168";"54";"18"
"Alok Barat";"rambutan_rambutan_kw_qui";"11";"-";"-";"-";"-"
"Alok Barat";"salak_snakefruit_kw_qui";"12";"-";"-";"-";"-"
"Alok Barat";"sirsak_soursop_kw_qui";"13";"468";"765";"206";"195"
"Alok Timur";"mangga_mango_kw_qui";"1";"1.369";"1.115";"646";"875"
"Alok Timur";"durian_durian_kw_qui";"2";"-";"-";"16";"17"
"Alok Timur";"jeruk_siam_keprok_orange_tangerine_kw_qui";"3";"-";"-";"-";"-"
"Alok Timur";"pisang_banana_kw_qui";"4";"29.500";"4.736";"1.750";"1.700"
"Alok Timur";"pepaya_papaya_kw_qui";"5";"1.370";"392";"172";"112"
"Alok Timur";"salak_snakefruit_kw_qui";"6";"10";"18";"13";"5"
"Alok Timur";"alpukat_avocado_kw_qui";"7";"673";"710";"174";"109"
"Alok Timur";"jambu_biji_guava_kw_qui";"8";"19";"215";"-";"-"
"Alok Timur";"nangka_cempedak_jackfruit_kw_qui";"9";"58";"24";"67";"23"
"Alok Timur";"nenas_pineapple_kw_qui";"10";"145";"74";"18";"20"
"Alok Timur";"rambutan_rambutan_kw_qui";"11";"14";"18";"17";"26"
"Alok Timur";"salak_snakefruit_kw_qui";"12";"10";"18";"13";"5"
"Alok Timur";"sirsak_soursop_kw_qui";"13";"375";"200";"66";"23"
"Bola";"mangga_mango_kw_qui";"1";"14.100";"1.680";"1.680";"1.394"
"Bola";"durian_durian_kw_qui";"2";"-";"6.432";"12.000";"3.770"
"Bola";"jeruk_siam_keprok_orange_tangerine_kw_qui";"3";"709";"920";"940";"819"
"Bola";"pisang_banana_kw_qui";"4";"1.305";"1.320";"1.320";"1.410"
"Bola";"pepaya_papaya_kw_qui";"5";"1.050";"430";"363";"721"
"Bola";"salak_snakefruit_kw_qui";"6";"-";"-";"1.270";"884"
"Bola";"alpukat_avocado_kw_qui";"7";"4.000";"4.000";"4.000";"2.120"
"Bola";"jambu_biji_guava_kw_qui";"8";"-";"-";"-";"-"
"Bola";"nangka_cempedak_jackfruit_kw_qui";"9";"3.230";"727";"447";"696"
"Bola";"nenas_pineapple_kw_qui";"10";"148";"160";"254";"-"
"Bola";"rambutan_rambutan_kw_qui";"11";"1.495";"571";"466";"782"
"Bola";"salak_snakefruit_kw_qui";"12";"-";"-";"1.270";"884"
"Bola";"sirsak_soursop_kw_qui";"13";"-";"-";"-";"-"
"Doreng";"mangga_mango_kw_qui";"1";"-";"-";"-";"-"
"Doreng";"durian_durian_kw_qui";"2";"234";"708";"316";"266"
"Doreng";"jeruk_siam_keprok_orange_tangerine_kw_qui";"3";"-";"-";"-";"-"
"Doreng";"pisang_banana_kw_qui";"4";"74";"195";"-";"260"
"Doreng";"pepaya_papaya_kw_qui";"5";"-";"-";"-";"-"
"Doreng";"salak_snakefruit_kw_qui";"6";"-";"-";"-";"-"
"Doreng";"alpukat_avocado_kw_qui";"7";"106";"197";"90";"92"
"Doreng";"jambu_biji_guava_kw_qui";"8";"-";"-";"-";"-"
"Doreng";"nangka_cempedak_jackfruit_kw_qui";"9";"-";"-";"-";"-"
"Doreng";"nenas_pineapple_kw_qui";"10";"-";"-";"-";"-"
"Doreng";"rambutan_rambutan_kw_qui";"11";"-";"-";"-";"-"
"Doreng";"salak_snakefruit_kw_qui";"12";"-";"-";"-";"-"
"Doreng";"sirsak_soursop_kw_qui";"13";"-";"-";"-";"-"
"Hewokloang";"mangga_mango_kw_qui";"1";"-";"15";"17";"17"
"Hewokloang";"durian_durian_kw_qui";"2";"1";"5";"5";"43"
"Hewokloang";"jeruk_siam_keprok_orange_tangerine_kw_qui";"3";"-";"-";"-";"-"
"Hewokloang";"pisang_banana_kw_qui";"4";"3";"15";"10";"30"
"Hewokloang";"pepaya_papaya_kw_qui";"5";"-";"6";"5";"12"
"Hewokloang";"salak_snakefruit_kw_qui";"6";"1";"6";"6";"5"
"Hewokloang";"alpukat_avocado_kw_qui";"7";"212";"44";"27";"65"
"Hewokloang";"jambu_biji_guava_kw_qui";"8";"-";"-";"-";"-"
"Hewokloang";"nangka_cempedak_jackfruit_kw_qui";"9";"10";"20";"12";"24"
"Hewokloang";"nenas_pineapple_kw_qui";"10";"-";"0";"0";"0"
"Hewokloang";"rambutan_rambutan_kw_qui";"11";"2";"4";"4";"4"
"Hewokloang";"salak_snakefruit_kw_qui";"12";"1";"6";"6";"5"
"Hewokloang";"sirsak_soursop_kw_qui";"13";"1";"4";"4";"8"
"Kangae";"mangga_mango_kw_qui";"1";"3.530";"441";"670";"482"
"Kangae";"durian_durian_kw_qui";"2";"-";"-";"-";"50"
"Kangae";"jeruk_siam_keprok_orange_tangerine_kw_qui";"3";"-";"50";"47";"33"
"Kangae";"pisang_banana_kw_qui";"4";"3.400";"22.300";"1.383";"1.732"
"Kangae";"pepaya_papaya_kw_qui";"5";"4.028";"6.144";"604";"734"
"Kangae";"salak_snakefruit_kw_qui";"6";"-";"-";"8";"91"
"Kangae";"alpukat_avocado_kw_qui";"7";"1.158";"1.160";"227";"251"
"Kangae";"jambu_biji_guava_kw_qui";"8";"-";"496";"24";"49"
"Kangae";"nangka_cempedak_jackfruit_kw_qui";"9";"4.300";"3.537";"265";"275"
"Kangae";"nenas_pineapple_kw_qui";"10";"10.198";"10.971";"16.379";"717"
"Kangae";"rambutan_rambutan_kw_qui";"11";"-";"-";"-";"62"
"Kangae";"salak_snakefruit_kw_qui";"12";"-";"-";"8";"91"
"Kangae";"sirsak_soursop_kw_qui";"13";"-";"-";"72";"78"
"Kewapante";"mangga_mango_kw_qui";"1";"5.200";"697";"340";"531"
"Kewapante";"durian_durian_kw_qui";"2";"87";"-";"-";"-"
"Kewapante";"jeruk_siam_keprok_orange_tangerine_kw_qui";"3";"-";"-";"-";"-"
"Kewapante";"pisang_banana_kw_qui";"4";"14.200";"1.200";"850";"827"
"Kewapante";"pepaya_papaya_kw_qui";"5";"4.065";"2.300";"1.650";"863"
"Kewapante";"salak_snakefruit_kw_qui";"6";"-";"-";"-";"-"
"Kewapante";"alpukat_avocado_kw_qui";"7";"1.550";"45";"-";"30"
"Kewapante";"jambu_biji_guava_kw_qui";"8";"270";"-";"-";"-"
"Kewapante";"nangka_cempedak_jackfruit_kw_qui";"9";"6.650";"730";"435";"558"
"Kewapante";"nenas_pineapple_kw_qui";"10";"7.342";"-";"-";"174"
"Kewapante";"rambutan_rambutan_kw_qui";"11";"54";"-";"-";"-"
"Kewapante";"salak_snakefruit_kw_qui";"12";"-";"-";"-";"-"
"Kewapante";"sirsak_soursop_kw_qui";"13";"436";"-";"-";"-"
"Koting";"mangga_mango_kw_qui";"1";"5.340";"3.200";"992";"1.476"
"Koting";"durian_durian_kw_qui";"2";"-";"-";"-";"-"
"Koting";"jeruk_siam_keprok_orange_tangerine_kw_qui";"3";"-";"-";"-";"-"
"Koting";"pisang_banana_kw_qui";"4";"8.600";"3.800";"1.736";"1.178"
"Koting";"pepaya_papaya_kw_qui";"5";"1.940";"4.500";"1.288";"815"
"Koting";"salak_snakefruit_kw_qui";"6";"2.700";"866";"843";"763"
"Koting";"alpukat_avocado_kw_qui";"7";"6.600";"3.100";"901";"1.522"
"Koting";"jambu_biji_guava_kw_qui";"8";"-";"-";"-";"-"
"Koting";"nangka_cempedak_jackfruit_kw_qui";"9";"1.025";"729";"144";"295"
"Koting";"nenas_pineapple_kw_qui";"10";"484";"974";"1.684";"478"
"Koting";"rambutan_rambutan_kw_qui";"11";"5";"-";"16";"21"
"Koting";"salak_snakefruit_kw_qui";"12";"2.700";"866";"843";"763"
"Koting";"sirsak_soursop_kw_qui";"13";"-";"-";"-";"-"
"Lela";"mangga_mango_kw_qui";"1";"2.250";"14.200";"3.333";"1.449"
"Lela";"durian_durian_kw_qui";"2";"294";"37";"823";"20"
"Lela";"jeruk_siam_keprok_orange_tangerine_kw_qui";"3";"7";"72";"322";"13"
"Lela";"pisang_banana_kw_qui";"4";"22.762";"31.243";"37.716";"4.052"
"Lela";"pepaya_papaya_kw_qui";"5";"3.604";"894";"5.544";"331"
"Lela";"salak_snakefruit_kw_qui";"6";"4.480";"1.180";"2.200";"40"
"Lela";"alpukat_avocado_kw_qui";"7";"3.300";"960";"7.025";"254"
"Lela";"jambu_biji_guava_kw_qui";"8";"1.000";"486";"3.522";"95"
"Lela";"nangka_cempedak_jackfruit_kw_qui";"9";"27";"185";"192";"52"
"Lela";"nenas_pineapple_kw_qui";"10";"108";"220";"190";"108"
"Lela";"rambutan_rambutan_kw_qui";"11";"150";"220";"190";"103"
"Lela";"salak_snakefruit_kw_qui";"12";"4.480";"1.180";"2.200";"40"
"Lela";"sirsak_soursop_kw_qui";"13";"200";"145";"21";"8"
"Magepanda";"mangga_mango_kw_qui";"1";"756";"1.279";"600";"719"
"Magepanda";"durian_durian_kw_qui";"2";"-";"-";"-";"-"
"Magepanda";"jeruk_siam_keprok_orange_tangerine_kw_qui";"3";"-";"-";"-";"-"
"Magepanda";"pisang_banana_kw_qui";"4";"253";"437";"611";"717"
"Magepanda";"pepaya_papaya_kw_qui";"5";"639";"360";"144";"301"
"Magepanda";"salak_snakefruit_kw_qui";"6";"-";"-";"-";"-"
"Magepanda";"alpukat_avocado_kw_qui";"7";"540";"111";"87";"140"
"Magepanda";"jambu_biji_guava_kw_qui";"8";"-";"-";"15";"420"
"Magepanda";"nangka_cempedak_jackfruit_kw_qui";"9";"326";"190";"74";"243"
"Magepanda";"nenas_pineapple_kw_qui";"10";"-";"-";"-";"-"
"Magepanda";"rambutan_rambutan_kw_qui";"11";"-";"54";"-";"93"
"Magepanda";"salak_snakefruit_kw_qui";"12";"-";"-";"-";"-"
"Magepanda";"sirsak_soursop_kw_qui";"13";"-";"38";"-";"84"
"Mapitara";"mangga_mango_kw_qui";"1";"-";"229";"820";"760"
"Mapitara";"durian_durian_kw_qui";"2";"321";"269";"694";"552"
"Mapitara";"jeruk_siam_keprok_orange_tangerine_kw_qui";"3";"-";"-";"-";"-"
"Mapitara";"pisang_banana_kw_qui";"4";"33.051";"8.262";"1.760";"1.402"
"Mapitara";"pepaya_papaya_kw_qui";"5";"7.084";"6.063";"307";"263"
"Mapitara";"salak_snakefruit_kw_qui";"6";"-";"-";"-";"-"
"Mapitara";"alpukat_avocado_kw_qui";"7";"895";"1.988";"2.160";"1.849"
"Mapitara";"jambu_biji_guava_kw_qui";"8";"-";"-";"-";"-"
