"kecamatan_subdistrict";"name";"nomor_komoditas";"x2020";"x2021";"x2022";"x2023"
"Alok";"jahe_ginger_m2_m2";"1";"1.400";"190";"500";"-"
"Alok";"laos_lengkuas_galanga_m2_m2";"2";"1.308";"795";"-";"733"
"Alok";"kencur_east_indian_galangal_m2_m2";"3";"375";"-";"-";"-"
"Alok";"kunyit_turmeric_m2_m2";"4";"2.200";"1.175";"1.675";"1.100"
"Alok Barat";"jahe_ginger_m2_m2";"1";"3";"-";"-";"-"
"Alok Barat";"laos_lengkuas_galanga_m2_m2";"2";"4";"-";"-";"-"
"Alok Barat";"kencur_east_indian_galangal_m2_m2";"3";"-";"-";"-";"-"
"Alok Barat";"kunyit_turmeric_m2_m2";"4";"2";"-";"-";"-"
"Alok Timur";"jahe_ginger_m2_m2";"1";"-";"-";"-";"5"
"Alok Timur";"laos_lengkuas_galanga_m2_m2";"2";"-";"-";"-";"5"
"Alok Timur";"kencur_east_indian_galangal_m2_m2";"3";"-";"-";"-";"4"
"Alok Timur";"kunyit_turmeric_m2_m2";"4";"-";"-";"-";"6"
"Bola";"jahe_ginger_m2_m2";"1";"-";"-";"-";"-"
"Bola";"laos_lengkuas_galanga_m2_m2";"2";"-";"-";"-";"-"
"Bola";"kencur_east_indian_galangal_m2_m2";"3";"-";"-";"-";"-"
"Bola";"kunyit_turmeric_m2_m2";"4";"-";"-";"-";"-"
"Doreng";"jahe_ginger_m2_m2";"1";"550";"1.400";"29.000";"17.000"
"Doreng";"laos_lengkuas_galanga_m2_m2";"2";"-";"-";"-";"-"
"Doreng";"kencur_east_indian_galangal_m2_m2";"3";"240";"850";"500";"700"
"Doreng";"kunyit_turmeric_m2_m2";"4";"750";"1.500";"1.200";"550"
"Hewokloang";"jahe_ginger_m2_m2";"1";"3.090";"3.000";"4.000";"4.000"
"Hewokloang";"laos_lengkuas_galanga_m2_m2";"2";"3.000";"5.000";"6.000";"4.000"
"Hewokloang";"kencur_east_indian_galangal_m2_m2";"3";"3.050";"5.000";"6.000";"3.000"
"Hewokloang";"kunyit_turmeric_m2_m2";"4";"3.100";"5.000";"6.000";"4.000"
