"kecamatan_subdistrict";"name";"nomor_komoditas";"x2020";"x2021";"x2022";"x2023"
"Alok";"bawang_merah_shallots_ha_ha";"1";"2";"-";"1";"1"
"Alok";"cabai_besar_chili_big_chili_ha_ha";"2";"2";NA;NA;NA
"Alok";"cabai_keriting_chili_curly_chili_ha_ha";"3";NA;"1";"1";"1"
"Alok";"cabai_rawit_chili_cayenne_pepper_ha_ha";"4";"3";"0";"1";"1"
"Alok";"kentang_potato_ha_ha";"5";"-";"-";"-";"-"
"Alok";"kubis_cabbage_ha_ha";"6";"-";"-";"-";"-"
"Alok";"tomat_tomato_ha_ha";"7";"-";"0";"2";"1"
"Alok";"bawang_putih_garlic_ha_ha";"8";"-";"-";"-";"-"
"Alok Barat";"bawang_merah_shallots_ha_ha";"1";"3";"5";"9";"6"
"Alok Barat";"cabai_besar_chili_big_chili_ha_ha";"2";"2";NA;NA;NA
"Alok Barat";"cabai_keriting_chili_curly_chili_ha_ha";"3";NA;"2";"1";"2"
"Alok Barat";"cabai_rawit_chili_cayenne_pepper_ha_ha";"4";"2";"1";"1";"1"
"Alok Barat";"kentang_potato_ha_ha";"5";"-";"-";"-";"-"
"Alok Barat";"kubis_cabbage_ha_ha";"6";"-";"-";"-";"-"
"Alok Barat";"tomat_tomato_ha_ha";"7";"14";"7";"4";"2"
"Alok Barat";"bawang_putih_garlic_ha_ha";"8";"-";"-";"-";"-"
"Alok Timur";"bawang_merah_shallots_ha_ha";"1";"-";"-";"-";"-"
"Alok Timur";"cabai_besar_chili_big_chili_ha_ha";"2";"-";NA;NA;NA
"Alok Timur";"cabai_keriting_chili_curly_chili_ha_ha";"3";NA;"-";"-";"-"
"Alok Timur";"cabai_rawit_chili_cayenne_pepper_ha_ha";"4";"-";"-";"-";"-"
"Alok Timur";"kentang_potato_ha_ha";"5";"-";"-";"-";"-"
"Alok Timur";"kubis_cabbage_ha_ha";"6";"-";"-";"-";"-"
"Alok Timur";"tomat_tomato_ha_ha";"7";"-";"-";"-";"-"
"Alok Timur";"bawang_putih_garlic_ha_ha";"8";"-";"-";"-";"-"
"Bola";"bawang_merah_shallots_ha_ha";"1";"-";"-";"-";"-"
"Bola";"cabai_besar_chili_big_chili_ha_ha";"2";"-";NA;NA;NA
"Bola";"cabai_keriting_chili_curly_chili_ha_ha";"3";NA;"-";"-";"-"
"Bola";"cabai_rawit_chili_cayenne_pepper_ha_ha";"4";"-";"-";"-";"-"
"Bola";"kentang_potato_ha_ha";"5";"-";"-";"-";"-"
"Bola";"kubis_cabbage_ha_ha";"6";"-";"-";"-";"-"
"Bola";"tomat_tomato_ha_ha";"7";"-";"-";"-";"-"
"Bola";"bawang_putih_garlic_ha_ha";"8";"-";"-";"-";"-"
"Doreng";"bawang_merah_shallots_ha_ha";"1";"4";"-";"-";"-"
"Doreng";"cabai_besar_chili_big_chili_ha_ha";"2";"-";NA;NA;NA
"Doreng";"cabai_keriting_chili_curly_chili_ha_ha";"3";NA;"-";"-";"-"
"Doreng";"cabai_rawit_chili_cayenne_pepper_ha_ha";"4";"-";"-";"-";"-"
"Doreng";"kentang_potato_ha_ha";"5";"-";"-";"-";"-"
"Doreng";"kubis_cabbage_ha_ha";"6";"-";"-";"-";"-"
"Doreng";"tomat_tomato_ha_ha";"7";"-";"-";"-";"-"
"Doreng";"bawang_putih_garlic_ha_ha";"8";"1";"-";"-";"-"
"Hewokloang";"bawang_merah_shallots_ha_ha";"1";"-";"-";"-";"-"
"Hewokloang";"cabai_besar_chili_big_chili_ha_ha";"2";"-";NA;NA;NA
"Hewokloang";"cabai_keriting_chili_curly_chili_ha_ha";"3";NA;"-";"-";"0"
"Hewokloang";"cabai_rawit_chili_cayenne_pepper_ha_ha";"4";"-";"1";"-";"1"
"Hewokloang";"kentang_potato_ha_ha";"5";"-";"-";"-";"-"
"Hewokloang";"kubis_cabbage_ha_ha";"6";"-";"-";"-";"-"
"Hewokloang";"tomat_tomato_ha_ha";"7";"-";"-";"-";"1"
"Hewokloang";"bawang_putih_garlic_ha_ha";"8";"-";"-";"-";"-"
"Kangae";"bawang_merah_shallots_ha_ha";"1";"-";"1";"-";"1"
"Kangae";"cabai_besar_chili_big_chili_ha_ha";"2";"1";NA;NA;NA
"Kangae";"cabai_keriting_chili_curly_chili_ha_ha";"3";NA;"0";"2";"-"
"Kangae";"cabai_rawit_chili_cayenne_pepper_ha_ha";"4";"-";"-";"3";"2"
"Kangae";"kentang_potato_ha_ha";"5";"-";"-";"-";"-"
"Kangae";"kubis_cabbage_ha_ha";"6";"-";"-";"-";"-"
"Kangae";"tomat_tomato_ha_ha";"7";"1";"1";"3";"8"
