"kecamatan_subdistrict";"name";"nomor_komoditas";"x2020";"x2021";"x2022";"x2023"
"Alok";"jahe_ginger_kg_kg";"1";"1.360";"300";"500";"-"
"Alok";"laos_lengkuas_galanga_kg_kg";"2";"5.124";"3.300";"-";"2.232"
"Alok";"kencur_east_indian_galangal_kg_kg";"3";"225";"-";"-";"-"
"Alok";"kunyit_turmeric_kg_kg";"4";"3.400";"3.500";"1.675";"4.184"
"Alok Barat";"jahe_ginger_kg_kg";"1";"18";"-";"-";"-"
"Alok Barat";"laos_lengkuas_galanga_kg_kg";"2";"20";"-";"-";"-"
"Alok Barat";"kencur_east_indian_galangal_kg_kg";"3";"-";"-";"-";"-"
"Alok Barat";"kunyit_turmeric_kg_kg";"4";"10";"-";"-";"-"
"Alok Timur";"jahe_ginger_kg_kg";"1";"-";"-";"-";"17"
"Alok Timur";"laos_lengkuas_galanga_kg_kg";"2";"-";"-";"-";"17"
"Alok Timur";"kencur_east_indian_galangal_kg_kg";"3";"-";"-";"-";"14"
"Alok Timur";"kunyit_turmeric_kg_kg";"4";"-";"-";"-";"24"
"Bola";"jahe_ginger_kg_kg";"1";"-";"-";"-";"-"
"Bola";"laos_lengkuas_galanga_kg_kg";"2";"-";"-";"-";"-"
"Bola";"kencur_east_indian_galangal_kg_kg";"3";"-";"-";"-";"-"
"Bola";"kunyit_turmeric_kg_kg";"4";"-";"-";"-";"-"
"Doreng";"jahe_ginger_kg_kg";"1";"825";"6.425";"58.000";"25.500"
"Doreng";"laos_lengkuas_galanga_kg_kg";"2";"-";"-";"-";"-"
"Doreng";"kencur_east_indian_galangal_kg_kg";"3";"196";"1.700";"600";"525"
"Doreng";"kunyit_turmeric_kg_kg";"4";"915";"4.980";"1.800";"660"
"Hewokloang";"jahe_ginger_kg_kg";"1";"5.790";"12.000";"6.000";"4.000"
"Hewokloang";"laos_lengkuas_galanga_kg_kg";"2";"3.000";"27.900";"9.000";"4.000"
"Hewokloang";"kencur_east_indian_galangal_kg_kg";"3";"5.100";"27.400";"9.000";"3.000"
"Hewokloang";"kunyit_turmeric_kg_kg";"4";"6.200";"30.500";"9.000";"4.000"
"Kangae";"jahe_ginger_kg_kg";"1";"675";"600";"-";"-"
"Kangae";"laos_lengkuas_galanga_kg_kg";"2";"520";"1.575";"-";"-"
"Kangae";"kencur_east_indian_galangal_kg_kg";"3";"-";"-";"-";"-"
"Kangae";"kunyit_turmeric_kg_kg";"4";"7.500";"12.487";"-";"-"
"Kewapante";"jahe_ginger_kg_kg";"1";"-";"-";"-";"-"
"Kewapante";"laos_lengkuas_galanga_kg_kg";"2";"-";"-";"-";"-"
"Kewapante";"kencur_east_indian_galangal_kg_kg";"3";"-";"-";"-";"-"
"Kewapante";"kunyit_turmeric_kg_kg";"4";"-";"-";"-";"-"
"Koting";"jahe_ginger_kg_kg";"1";"261";"54";"39";"37"
"Koting";"laos_lengkuas_galanga_kg_kg";"2";"16";"27";"-";"-"
"Koting";"kencur_east_indian_galangal_kg_kg";"3";"4";"4";"3";"-"
"Koting";"kunyit_turmeric_kg_kg";"4";"10";"62";"33";"9"
"Lela";"jahe_ginger_kg_kg";"1";"1.500";"10.000";"950";"230"
"Lela";"laos_lengkuas_galanga_kg_kg";"2";"648";"1.000";"750";"335"
"Lela";"kencur_east_indian_galangal_kg_kg";"3";"360";"1.000";"450";"270"
"Lela";"kunyit_turmeric_kg_kg";"4";"16.500";"1.000";"700";"272"
"Magepanda";"jahe_ginger_kg_kg";"1";"2.722";"4.072";"5.861";"725"
"Magepanda";"laos_lengkuas_galanga_kg_kg";"2";"900";"1.105";"1.125";"680"
"Magepanda";"kencur_east_indian_galangal_kg_kg";"3";"700";"2.600";"885";"940"
"Magepanda";"kunyit_turmeric_kg_kg";"4";"1.802";"1.265";"496";"1.216"
"Mapitara";"jahe_ginger_kg_kg";"1";"98.266";"36.924";"8.513";"34.000"
"Mapitara";"laos_lengkuas_galanga_kg_kg";"2";"9.013";"3.229";"2.834";"15.000"
"Mapitara";"kencur_east_indian_galangal_kg_kg";"3";"6.744";"1.822";"929";"15.700"
"Mapitara";"kunyit_turmeric_kg_kg";"4";"23.841";"23.786";"22.944";"34.500"
"Mego";"jahe_ginger_kg_kg";"1";"8";"9.960";"2.710";"1.092"
"Mego";"laos_lengkuas_galanga_kg_kg";"2";"8";"5.179";"122";"258"
"Mego";"kencur_east_indian_galangal_kg_kg";"3";"5";"1.644";"144";"304"
"Mego";"kunyit_turmeric_kg_kg";"4";"10";"16.499";"2.292";"1.982"
"Nelle";"jahe_ginger_kg_kg";"1";"40";"-";"-";"-"
"Nelle";"laos_lengkuas_galanga_kg_kg";"2";"80";"-";"-";"-"
"Nelle";"kencur_east_indian_galangal_kg_kg";"3";"20";"-";"-";"-"
"Nelle";"kunyit_turmeric_kg_kg";"4";"150";"-";"-";"-"
"Nita";"jahe_ginger_kg_kg";"1";"14.503";"57.938";"176.000";"104.500"
"Nita";"laos_lengkuas_galanga_kg_kg";"2";"35.605";"81.900";"218.500";"79.400"
"Nita";"kencur_east_indian_galangal_kg_kg";"3";"5.767";"9.850";"12.000";"7.400"
"Nita";"kunyit_turmeric_kg_kg";"4";"23.625";"46.300";"162.000";"73.910"
"Paga";"jahe_ginger_kg_kg";"1";"-";"-";"-";"2"
"Paga";"laos_lengkuas_galanga_kg_kg";"2";"-";"-";"-";"-"
"Paga";"kencur_east_indian_galangal_kg_kg";"3";"-";"-";"-";"-"
"Paga";"kunyit_turmeric_kg_kg";"4";"-";"-";"-";"-"
