"kecamatan_subdistrict";"name";"nomor_komoditas";"x2020";"x2021";"x2022";"x2023"
"Alok";"anggrek_potong_cut_orchid_tangkai_stalks";"2";NA;"-";"-";"-"
"Alok";"krisan_chrysantemum_tangkai_stalks";"3";"-";"-";"-";"-"
"Alok";"mawar_rose_tangkai_stalks";"4";"-";"-";"-";"-"
"Alok";"sedap_malam_tuberose_tangkai_stalks";"5";"-";"-";"-";"-"
"Alok";"anthurium_bunga_flamingo_lily_flower_tangkai_stalks";"6";"-";"-";"-";"-"
"Alok";"bugenvil_pohon_tree";"7";NA;"-";"-";"-"
"Alok";"palem_palm_pohon_tree";"8";"-";"-";"-";"-"
"Alok";"pedang_pedangan_sanseviera_rumpun_clumps";"9";"-";"-";"-";"-"
"Alok";"pisang_pisangan_heliconia_tangkai_stalks";"10";"-";"-";"-";"-"
"Alok";"puring_croton_pohon_tree";"11";NA;"-";"-";"-"
"Alok";"soka_ixora_pohon_tree";"12";"-";"-";"-";"-"
"Alok";"sri_rejeki_aglaonema_pohon_tree";"13";"-";"-";"-";"-"
"Alok Barat";"anggrek_potong_cut_orchid_tangkai_stalks";"2";NA;"-";"-";"-"
"Alok Barat";"krisan_chrysantemum_tangkai_stalks";"3";"-";"-";"-";"-"
"Alok Barat";"mawar_rose_tangkai_stalks";"4";"-";"-";"-";"-"
"Alok Barat";"sedap_malam_tuberose_tangkai_stalks";"5";"-";"-";"-";"-"
"Alok Barat";"anthurium_bunga_flamingo_lily_flower_tangkai_stalks";"6";"-";"-";"-";"-"
"Alok Barat";"bugenvil_pohon_tree";"7";NA;"-";"-";"-"
"Alok Barat";"palem_palm_pohon_tree";"8";"-";"-";"-";"-"
"Alok Barat";"pedang_pedangan_sanseviera_rumpun_clumps";"9";"-";"-";"-";"-"
"Alok Barat";"pisang_pisangan_heliconia_tangkai_stalks";"10";"-";"-";"-";"-"
"Alok Barat";"puring_croton_pohon_tree";"11";NA;"-";"-";"-"
"Alok Barat";"soka_ixora_pohon_tree";"12";"-";"-";"-";"-"
"Alok Barat";"sri_rejeki_aglaonema_pohon_tree";"13";"-";"-";"-";"-"
"Alok Timur";"anggrek_potong_cut_orchid_tangkai_stalks";"2";NA;"-";"-";"-"
"Alok Timur";"krisan_chrysantemum_tangkai_stalks";"3";"-";"-";"175";"12"
"Alok Timur";"mawar_rose_tangkai_stalks";"4";"-";"-";"120";"18"
"Alok Timur";"sedap_malam_tuberose_tangkai_stalks";"5";"-";"-";"-";"-"
"Alok Timur";"anthurium_bunga_flamingo_lily_flower_tangkai_stalks";"6";"-";"-";"140";"22"
"Alok Timur";"bugenvil_pohon_tree";"7";NA;"-";"210";"29"
"Alok Timur";"palem_palm_pohon_tree";"8";"-";"-";"370";"37"
"Alok Timur";"pedang_pedangan_sanseviera_rumpun_clumps";"9";"-";"-";"195";"20"
"Alok Timur";"pisang_pisangan_heliconia_tangkai_stalks";"10";"-";"-";"132";"41"
"Alok Timur";"puring_croton_pohon_tree";"11";NA;"-";"160";"18"
