"kecamatan_subdistrict";"name";"nomor_komoditas";"x2020";"x2021";"x2022";"x2023"
"Alok";"bawang_merah_shallots_kw_qui";"1";"52";"-";"1";"27"
"Alok";"cabai_besar_chili_big_chili_kw_qui";"2";"168";NA;NA;NA
"Alok";"cabai_keriting_chili_curly_chili_kw_qui";"3";NA;"3";"2";"107"
"Alok";"cabai_rawit_chili_cayenne_pepper_kw_qui";"4";"254";"7";"4";"94"
"Alok";"kentang_potato_kw_qui";"5";"-";"-";"-";"-"
"Alok";"kubis_cabbage_kw_qui";"6";"-";"-";"-";"-"
"Alok";"tomat_tomato_kw_qui";"7";"-";"1";"6";"574"
"Alok";"bawang_putih_garlic_kw_qui";"8";"-";"-";"-";"-"
"Alok Barat";"bawang_merah_shallots_kw_qui";"1";"148";"141";"720";"116"
"Alok Barat";"cabai_besar_chili_big_chili_kw_qui";"2";"72";NA;NA;NA
"Alok Barat";"cabai_keriting_chili_curly_chili_kw_qui";"3";NA;"24";"32";"7"
"Alok Barat";"cabai_rawit_chili_cayenne_pepper_kw_qui";"4";"259";"8";"80";"10"
"Alok Barat";"kentang_potato_kw_qui";"5";"-";"-";"-";"-"
"Alok Barat";"kubis_cabbage_kw_qui";"6";"-";"-";"-";"-"
"Alok Barat";"tomat_tomato_kw_qui";"7";"1.377";"90";"346";"47"
"Alok Barat";"bawang_putih_garlic_kw_qui";"8";"-";"-";"-";"-"
"Alok Timur";"bawang_merah_shallots_kw_qui";"1";"-";"-";"-";"-"
"Alok Timur";"cabai_besar_chili_big_chili_kw_qui";"2";"-";NA;NA;NA
"Alok Timur";"cabai_keriting_chili_curly_chili_kw_qui";"3";NA;"-";"-";"-"
"Alok Timur";"cabai_rawit_chili_cayenne_pepper_kw_qui";"4";"-";"-";"-";"-"
"Alok Timur";"kentang_potato_kw_qui";"5";"-";"-";"-";"-"
"Alok Timur";"kubis_cabbage_kw_qui";"6";"-";"-";"-";"-"
"Alok Timur";"tomat_tomato_kw_qui";"7";"-";"-";"-";"-"
"Alok Timur";"bawang_putih_garlic_kw_qui";"8";"-";"-";"-";"-"
"Bola";"bawang_merah_shallots_kw_qui";"1";"-";"-";"-";"-"
"Bola";"cabai_besar_chili_big_chili_kw_qui";"2";"-";NA;NA;NA
"Bola";"cabai_keriting_chili_curly_chili_kw_qui";"3";NA;"-";"-";"-"
"Bola";"cabai_rawit_chili_cayenne_pepper_kw_qui";"4";"-";"-";"-";"-"
"Bola";"kentang_potato_kw_qui";"5";"-";"-";"-";"-"
"Bola";"kubis_cabbage_kw_qui";"6";"-";"-";"-";"-"
"Bola";"tomat_tomato_kw_qui";"7";"-";"-";"-";"-"
"Bola";"bawang_putih_garlic_kw_qui";"8";"-";"-";"-";"-"
"Doreng";"bawang_merah_shallots_kw_qui";"1";"35";"-";"-";"-"
"Doreng";"cabai_besar_chili_big_chili_kw_qui";"2";"-";NA;NA;NA
"Doreng";"cabai_keriting_chili_curly_chili_kw_qui";"3";NA;"-";"-";"-"
"Doreng";"cabai_rawit_chili_cayenne_pepper_kw_qui";"4";"-";"-";"-";"-"
"Doreng";"kentang_potato_kw_qui";"5";"-";"-";"-";"-"
