document.id,label,kode_wilayah,tahun_pendidikan,tabel,tingkat,negeri,swasta,negeri_swasta
18,Magepanda,5310071,2023/2024,Guru,SD,69,39,108
18,Magepanda,5310071,2023/2024,Murid,SD,974,611,1.585
19,Alok,5310080,2023/2024,Sekolah,SD,13,4,17
19,Alok,5310080,2023/2024,Guru,SD,194,49,243
19,Alok,5310080,2023/2024,Murid,SD,2.725,655,3.380
20,Alok Barat,5310081,2023/2024,Sekolah,SD,7,1,8
20,Alok Barat,5310081,2023/2024,Guru,SD,100,13,113
20,Alok Barat,5310081,2023/2024,Murid,SD,1.543,249,1.792
21,Alok Timur,5310082,2023/2024,Sekolah,SD,16,7,23
21,Alok Timur,5310082,2023/2024,Guru,SD,190,104,294
21,Alok Timur,5310082,2023/2024,Murid,SD,2.272,1.870,4.142
22,Sikka,5310000,2023/2024,Sekolah,SD,199,137,336
22,Sikka,5310000,2023/2024,Guru,SD,2.050,1.218,3.268
22,Sikka,5310000,2023/2024,Murid,SD,21.508,15.363,36.871
1,Paga,5310010,2023/2024,Sekolah,SMP,2,3,5
1,Paga,5310010,2023/2024,Guru,SMP,39,54,93
1,Paga,5310010,2023/2024,Murid,SMP,341,785,1.126
2,Mego,5310011,2023/2024,Sekolah,SMP,3,1,4
2,Mego,5310011,2023/2024,Guru,SMP,48,15,63
2,Mego,5310011,2023/2024,Murid,SMP,355,168,523
3,Tana Wawo,5310012,2023/2024,Sekolah,SMP,2,1,3
3,Tana Wawo,5310012,2023/2024,Guru,SMP,34,12,46
3,Tana Wawo,5310012,2023/2024,Murid,SMP,356,182,538
4,Lela,5310020,2023/2024,Sekolah,SMP,2,1,3
4,Lela,5310020,2023/2024,Guru,SMP,34,10,44
4,Lela,5310020,2023/2024,Murid,SMP,333,172,505
5,Bola,5310030,2023/2024,Sekolah,SMP,1,1,2
5,Bola,5310030,2023/2024,Guru,SMP,20,16,36
5,Bola,5310030,2023/2024,Murid,SMP,195,218,413
6,Doreng,5310031,2023/2024,Sekolah,SMP,5,-,5
6,Doreng,5310031,2023/2024,Guru,SMP,74,-,74
6,Doreng,5310031,2023/2024,Murid,SMP,634,-,634
7,Mapitara,5310032,2023/2024,Sekolah,SMP,1,1,2
7,Mapitara,5310032,2023/2024,Guru,SMP,12,14,26
7,Mapitara,5310032,2023/2024,Murid,SMP,89,137,226
8,Talibura,5310040,2023/2024,Sekolah,SMP,5,3,8
8,Talibura,5310040,2023/2024,Guru,SMP,74,39,113
8,Talibura,5310040,2023/2024,Murid,SMP,598,477,1.075
9,Waigete,5310041,2023/2024,Sekolah,SMP,3,5,8
9,Waigete,5310041,2023/2024,Guru,SMP,58,51,109
9,Waigete,5310041,2023/2024,Murid,SMP,643,663,1.306
10,Waiblama,5310042,2023/2024,Sekolah,SMP,3,-,3
10,Waiblama,5310042,2023/2024,Guru,SMP,41,-,41
10,Waiblama,5310042,2023/2024,Murid,SMP,387,-,387
11,Kewapante,5310050,2023/2024,Sekolah,SMP,2,2,4
11,Kewapante,5310050,2023/2024,Guru,SMP,35,27,62
11,Kewapante,5310050,2023/2024,Murid,SMP,384,271,655
12,Hewokloang,5310051,2023/2024,Sekolah,SMP,1,3,4
12,Hewokloang,5310051,2023/2024,Guru,SMP,11,41,52
12,Hewokloang,5310051,2023/2024,Murid,SMP,37,349,386
13,Kangae,5310052,2023/2024,Sekolah,SMP,2,2,4
13,Kangae,5310052,2023/2024,Guru,SMP,56,24,80
13,Kangae,5310052,2023/2024,Murid,SMP,793,323,1.116
14,Palue,5310061,2023/2024,Sekolah,SMP,1,1,2
14,Palue,5310061,2023/2024,Guru,SMP,23,18,41
14,Palue,5310061,2023/2024,Murid,SMP,224,211,435
15,Koting,5310062,2023/2024,Sekolah,SMP,-,1,1
15,Koting,5310062,2023/2024,Guru,SMP,-,12,12
15,Koting,5310062,2023/2024,Murid,SMP,-,154,154
16,Nelle,5310063,2023/2024,Sekolah,SMP,1,1,2
16,Nelle,5310063,2023/2024,Guru,SMP,27,8,35
16,Nelle,5310063,2023/2024,Murid,SMP,315,77,392
17,Nita,5310070,2023/2024,Sekolah,SMP,3,3,6
17,Nita,5310070,2023/2024,Guru,SMP,61,33,94
