kecamatan_subdistrict,komoditas,y2020,y2021,y2022,y2023,name,no_komoditas,tabel
Hewokloang,kentang_potato_kw_qui,-,-,-,-,kentang_potato,5,tbl_5.2
Hewokloang,kubis_cabbage_kw_qui,-,-,-,-,kubis_cabbage,6,tbl_5.2
Hewokloang,tomat_tomato_kw_qui,-,-,-,2,tomat_tomato,7,tbl_5.2
Hewokloang,bawang_putih_garlic_kw_qui,-,-,-,-,bawang_putih,8,tbl_5.2
Kangae,bawang_merah_shallots_kw_qui,-,14,-,4,bawang_merah,1,tbl_5.2
Kangae,cabai_besar_chili_big_chili_kw_qui,160,...,...,...,cabai_besar,2,tbl_5.2
Kangae,cabai_rawit_chili_cayenne_pepper_kw_qui,-,-,20,10,cabai_rawit,4,tbl_5.2
Kangae,kentang_potato_kw_qui,-,-,-,-,kentang_potato,5,tbl_5.2
Kangae,kubis_cabbage_kw_qui,-,-,-,-,kubis_cabbage,6,tbl_5.2
Kangae,tomat_tomato_kw_qui,108,150,167,26,tomat_tomato,7,tbl_5.2
Kangae,bawang_putih_garlic_kw_qui,-,-,-,-,bawang_putih,8,tbl_5.2
Palue,bawang_merah_shallots_kw_qui,-,-,-,-,bawang_merah,1,tbl_5.2
Palue,cabai_besar_chili_big_chili_kw_qui,-,...,...,...,cabai_besar,2,tbl_5.2
Palue,cabai_rawit_chili_cayenne_pepper_kw_qui,-,2,3,2,cabai_rawit,4,tbl_5.2
Palue,kentang_potato_kw_qui,-,-,-,-,kentang_potato,5,tbl_5.2
Palue,kubis_cabbage_kw_qui,-,-,-,-,kubis_cabbage,6,tbl_5.2
Palue,tomat_tomato_kw_qui,-,-,-,1,tomat_tomato,7,tbl_5.2
Palue,bawang_putih_garlic_kw_qui,-,-,-,-,bawang_putih,8,tbl_5.2
Koting,bawang_merah_shallots_kw_qui,-,-,-,-,bawang_merah,1,tbl_5.2
Koting,cabai_besar_chili_big_chili_kw_qui,258,...,...,...,cabai_besar,2,tbl_5.2
Koting,cabai_rawit_chili_cayenne_pepper_kw_qui,64,467,8,5,cabai_rawit,4,tbl_5.2
Koting,kentang_potato_kw_qui,-,-,-,-,kentang_potato,5,tbl_5.2
Koting,kubis_cabbage_kw_qui,-,-,-,-,kubis_cabbage,6,tbl_5.2
Koting,tomat_tomato_kw_qui,90,41,3,1,tomat_tomato,7,tbl_5.2
Koting,bawang_putih_garlic_kw_qui,-,-,-,-,bawang_putih,8,tbl_5.2
Nelle,bawang_merah_shallots_kw_qui,-,-,-,-,bawang_merah,1,tbl_5.2
Nelle,cabai_besar_chili_big_chili_kw_qui,6,...,...,...,cabai_besar,2,tbl_5.2
Nelle,cabai_rawit_chili_cayenne_pepper_kw_qui,38,25,2,1,cabai_rawit,4,tbl_5.2
Nelle,kentang_potato_kw_qui,-,-,-,-,kentang_potato,5,tbl_5.2
Nelle,kubis_cabbage_kw_qui,-,-,-,-,kubis_cabbage,6,tbl_5.2
Nelle,tomat_tomato_kw_qui,24,109,77,7,tomat_tomato,7,tbl_5.2
Nelle,bawang_putih_garlic_kw_qui,-,-,-,-,bawang_putih,8,tbl_5.2
Nita,bawang_merah_shallots_kw_qui,-,-,-,-,bawang_merah,1,tbl_5.2
Nita,cabai_besar_chili_big_chili_kw_qui,705,...,...,...,cabai_besar,2,tbl_5.2
Nita,cabai_rawit_chili_cayenne_pepper_kw_qui,884,270,1.250,1.287,cabai_rawit,4,tbl_5.2
Nita,kentang_potato_kw_qui,-,-,-,100,kentang_potato,5,tbl_5.2
Nita,kubis_cabbage_kw_qui,7,200,-,-,kubis_cabbage,6,tbl_5.2
Nita,tomat_tomato_kw_qui,4.310,4.330,7.200,6.797,tomat_tomato,7,tbl_5.2
Nita,bawang_putih_garlic_kw_qui,-,-,-,-,bawang_putih,8,tbl_5.2
Magepanda,bawang_merah_shallots_kw_qui,1.170,11,49,300,bawang_merah,1,tbl_5.2
Magepanda,cabai_besar_chili_big_chili_kw_qui,113,...,...,...,cabai_besar,2,tbl_5.2
Magepanda,cabai_rawit_chili_cayenne_pepper_kw_qui,389,393,18,1,cabai_rawit,4,tbl_5.2
Magepanda,kentang_potato_kw_qui,-,-,-,-,kentang_potato,5,tbl_5.2
Magepanda,kubis_cabbage_kw_qui,-,-,-,-,kubis_cabbage,6,tbl_5.2
Magepanda,tomat_tomato_kw_qui,74,72,2,369,tomat_tomato,7,tbl_5.2
Magepanda,bawang_putih_garlic_kw_qui,-,-,-,-,bawang_putih,8,tbl_5.2
Alok,bawang_merah_shallots_kw_qui,52,-,1,27,bawang_merah,1,tbl_5.2
Alok,cabai_besar_chili_big_chili_kw_qui,168,...,...,...,cabai_besar,2,tbl_5.2
Alok,cabai_rawit_chili_cayenne_pepper_kw_qui,254,7,4,94,cabai_rawit,4,tbl_5.2
Alok,kentang_potato_kw_qui,-,-,-,-,kentang_potato,5,tbl_5.2
Alok,kubis_cabbage_kw_qui,-,-,-,-,kubis_cabbage,6,tbl_5.2
Alok,tomat_tomato_kw_qui,-,1,6,574,tomat_tomato,7,tbl_5.2
Alok,bawang_putih_garlic_kw_qui,-,-,-,-,bawang_putih,8,tbl_5.2
Alok Barat,bawang_merah_shallots_kw_qui,148,141,720,116,bawang_merah,1,tbl_5.2
Alok Barat,cabai_besar_chili_big_chili_kw_qui,72,...,...,...,cabai_besar,2,tbl_5.2
Alok Barat,cabai_rawit_chili_cayenne_pepper_kw_qui,259,8,80,10,cabai_rawit,4,tbl_5.2
Alok Barat,kentang_potato_kw_qui,-,-,-,-,kentang_potato,5,tbl_5.2
Alok Barat,kubis_cabbage_kw_qui,-,-,-,-,kubis_cabbage,6,tbl_5.2
Alok Barat,tomat_tomato_kw_qui,1.377,90,346,47,tomat_tomato,7,tbl_5.2
Alok Barat,bawang_putih_garlic_kw_qui,-,-,-,-,bawang_putih,8,tbl_5.2
Alok Timur,bawang_merah_shallots_kw_qui,-,-,-,-,bawang_merah,1,tbl_5.2
Alok Timur,cabai_besar_chili_big_chili_kw_qui,-,...,...,...,cabai_besar,2,tbl_5.2
Alok Timur,cabai_rawit_chili_cayenne_pepper_kw_qui,-,-,-,-,cabai_rawit,4,tbl_5.2
Alok Timur,kentang_potato_kw_qui,-,-,-,-,kentang_potato,5,tbl_5.2
Alok Timur,kubis_cabbage_kw_qui,-,-,-,-,kubis_cabbage,6,tbl_5.2
Alok Timur,tomat_tomato_kw_qui,-,-,-,-,tomat_tomato,7,tbl_5.2
Alok Timur,bawang_putih_garlic_kw_qui,-,-,-,-,bawang_putih,8,tbl_5.2
Sikka,bawang_merah_shallots_kw_qui,2.112,378,805,490,bawang_merah,1,tbl_5.2
Sikka,cabai_besar_chili_big_chili_kw_qui,3.113,...,...,...,cabai_besar,2,tbl_5.2
Sikka,cabai_rawit_chili_cayenne_pepper_kw_qui,7.418,3.140,2.408,2.129,cabai_rawit,4,tbl_5.2
Sikka,kentang_potato_kw_qui,-,609,650,312,kentang_potato,5,tbl_5.2
Sikka,kubis_cabbage_kw_qui,405,249,9,28,kubis_cabbage,6,tbl_5.2
Sikka,tomat_tomato_kw_qui,8.657,6.510,9.312,9.015,tomat_tomato,7,tbl_5.2
Sikka,bawang_putih_garlic_kw_qui,4,-,-,-,bawang_putih,8,tbl_5.2
Paga,cabai_besar_tw_teropong_chili_big_chili_kw_qui,...,-,100,-,cabai_besar,2,tbl_5.2
Paga,cabai_keriting_chili_curly_chili_kw_qui,...,246,430,626,cabai_keriting,3,tbl_5.2
Mego,cabai_besar_tw_teropong_chili_big_chili_kw_qui,...,54,23,7,cabai_besar,2,tbl_5.2
Mego,cabai_keriting_chili_curly_chili_kw_qui,...,28,47,8,cabai_keriting,3,tbl_5.2
Tana Wawo,cabai_besar_tw_teropong_chili_big_chili_kw_qui,...,11,4,52,cabai_besar,2,tbl_5.2
Tana Wawo,cabai_keriting_chili_curly_chili_kw_qui,...,9,5,-,cabai_keriting,3,tbl_5.2
Lela,cabai_besar_tw_teropong_chili_big_chili_kw_qui,...,42,14,1,cabai_besar,2,tbl_5.2
Lela,cabai_keriting_chili_curly_chili_kw_qui,...,6,2,13,cabai_keriting,3,tbl_5.2
Bola,cabai_besar_tw_teropong_chili_big_chili_kw_qui,...,-,-,-,cabai_besar,2,tbl_5.2
Bola,cabai_keriting_chili_curly_chili_kw_qui,...,-,-,-,cabai_keriting,3,tbl_5.2
Doreng,cabai_besar_tw_teropong_chili_big_chili_kw_qui,...,-,-,-,cabai_besar,2,tbl_5.2
Doreng,cabai_keriting_chili_curly_chili_kw_qui,...,-,-,-,cabai_keriting,3,tbl_5.2
Mapitara,cabai_besar_tw_teropong_chili_big_chili_kw_qui,...,-,-,-,cabai_besar,2,tbl_5.2
Mapitara,cabai_keriting_chili_curly_chili_kw_qui,...,-,-,32,cabai_keriting,3,tbl_5.2
Talibura,cabai_besar_tw_teropong_chili_big_chili_kw_qui,...,24,-,-,cabai_besar,2,tbl_5.2
Talibura,cabai_keriting_chili_curly_chili_kw_qui,...,-,-,-,cabai_keriting,3,tbl_5.2
Waigete,cabai_besar_tw_teropong_chili_big_chili_kw_qui,...,6,4,5,cabai_besar,2,tbl_5.2
Waigete,cabai_keriting_chili_curly_chili_kw_qui,...,8,14,11,cabai_keriting,3,tbl_5.2
Waiblama,cabai_besar_tw_teropong_chili_big_chili_kw_qui,...,-,-,-,cabai_besar,2,tbl_5.2
Waiblama,cabai_keriting_chili_curly_chili_kw_qui,...,3,-,-,cabai_keriting,3,tbl_5.2
Kewapante,cabai_besar_tw_teropong_chili_big_chili_kw_qui,...,10,-,-,cabai_besar,2,tbl_5.2
Kewapante,cabai_keriting_chili_curly_chili_kw_qui,...,9,0,-,cabai_keriting,3,tbl_5.2
Hewokloang,cabai_besar_tw_teropong_chili_big_chili_kw_qui,...,-,-,-,cabai_besar,2,tbl_5.2
Hewokloang,cabai_keriting_chili_curly_chili_kw_qui,...,-,-,0,cabai_keriting,3,tbl_5.2
Kangae,cabai_besar_tw_teropong_chili_big_chili_kw_qui,...,-,2,4,cabai_besar,2,tbl_5.2
Kangae,cabai_keriting_chili_curly_chili_kw_qui,...,10,13,-,cabai_keriting,3,tbl_5.2
Palue,cabai_besar_tw_teropong_chili_big_chili_kw_qui,...,-,-,1,cabai_besar,2,tbl_5.2
Palue,cabai_keriting_chili_curly_chili_kw_qui,...,-,5,-,cabai_keriting,3,tbl_5.2
Koting,cabai_besar_tw_teropong_chili_big_chili_kw_qui,...,373,8,5,cabai_besar,2,tbl_5.2
Koting,cabai_keriting_chili_curly_chili_kw_qui,...,-,7,4,cabai_keriting,3,tbl_5.2
Nelle,cabai_besar_tw_teropong_chili_big_chili_kw_qui,...,8,0,1,cabai_besar,2,tbl_5.2
Nelle,cabai_keriting_chili_curly_chili_kw_qui,...,17,1,0,cabai_keriting,3,tbl_5.2
Nita,cabai_besar_tw_teropong_chili_big_chili_kw_qui,...,293,893,760,cabai_besar,2,tbl_5.2
Nita,cabai_keriting_chili_curly_chili_kw_qui,...,167,1.560,932,cabai_keriting,3,tbl_5.2
Magepanda,cabai_besar_tw_teropong_chili_big_chili_kw_qui,...,72,-,-,cabai_besar,2,tbl_5.2
Magepanda,cabai_keriting_chili_curly_chili_kw_qui,...,-,-,-,cabai_keriting,3,tbl_5.2
Alok,cabai_besar_tw_teropong_chili_big_chili_kw_qui,...,48,1,91,cabai_besar,2,tbl_5.2
Alok,cabai_keriting_chili_curly_chili_kw_qui,...,3,2,107,cabai_keriting,3,tbl_5.2
Alok Barat,cabai_besar_tw_teropong_chili_big_chili_kw_qui,...,61,28,5,cabai_besar,2,tbl_5.2
Alok Barat,cabai_keriting_chili_curly_chili_kw_qui,...,24,32,7,cabai_keriting,3,tbl_5.2
Alok Timur,cabai_besar_tw_teropong_chili_big_chili_kw_qui,...,-,-,-,cabai_besar,2,tbl_5.2
Alok Timur,cabai_keriting_chili_curly_chili_kw_qui,...,-,-,-,cabai_keriting,3,tbl_5.2
Sikka,cabai_besar_tw_teropong_chili_big_chili_kw_qui,...,1.001,1.077,931,cabai_besar,2,tbl_5.2
Sikka,cabai_keriting_chili_curly_chili_kw_qui,...,528,2.119,1.741,cabai_keriting,3,tbl_5.2
Paga,jahe_ginger_m2_m2,-,-,-,1,jahe_ginger,1,tbl_5.3
Paga,laos_lengkuas_galanga_m2_m2,-,-,-,-,laos_lengkuas,2,tbl_5.3
Paga,kencur_east_indian_galangal_m2_m2,-,-,-,-,kencur_east,3,tbl_5.3
Paga,kunyit_turmeric_m2_m2,-,-,-,-,kunyit_turmeric,4,tbl_5.3
Mego,jahe_ginger_m2_m2,2,3.318,7.500,2.891,jahe_ginger,1,tbl_5.3
Mego,laos_lengkuas_galanga_m2_m2,2,2.003,335,471,laos_lengkuas,2,tbl_5.3
Mego,kencur_east_indian_galangal_m2_m2,2,583,422,363,kencur_east,3,tbl_5.3
Mego,kunyit_turmeric_m2_m2,2,5.258,5.328,3.910,kunyit_turmeric,4,tbl_5.3
Tana Wawo,jahe_ginger_m2_m2,7.000,22.500,27.500,800,jahe_ginger,1,tbl_5.3
Tana Wawo,laos_lengkuas_galanga_m2_m2,6.020,5.700,700,560,laos_lengkuas,2,tbl_5.3
Tana Wawo,kencur_east_indian_galangal_m2_m2,7.800,13.000,15.200,450,kencur_east,3,tbl_5.3
Tana Wawo,kunyit_turmeric_m2_m2,12.125,16.500,26.000,900,kunyit_turmeric,4,tbl_5.3
Lela,jahe_ginger_m2_m2,1.500,1.000,750,700,jahe_ginger,1,tbl_5.3
Lela,laos_lengkuas_galanga_m2_m2,180,750,500,500,laos_lengkuas,2,tbl_5.3
Lela,kencur_east_indian_galangal_m2_m2,600,750,500,500,kencur_east,3,tbl_5.3
Lela,kunyit_turmeric_m2_m2,3.500,700,500,500,kunyit_turmeric,4,tbl_5.3
Bola,jahe_ginger_m2_m2,-,-,-,-,jahe_ginger,1,tbl_5.3
Bola,laos_lengkuas_galanga_m2_m2,-,-,-,-,laos_lengkuas,2,tbl_5.3
Bola,kencur_east_indian_galangal_m2_m2,-,-,-,-,kencur_east,3,tbl_5.3
Bola,kunyit_turmeric_m2_m2,-,-,-,-,kunyit_turmeric,4,tbl_5.3
Doreng,jahe_ginger_m2_m2,550,1.400,29.000,17.000,jahe_ginger,1,tbl_5.3
Doreng,laos_lengkuas_galanga_m2_m2,-,-,-,-,laos_lengkuas,2,tbl_5.3
Doreng,kencur_east_indian_galangal_m2_m2,240,850,500,700,kencur_east,3,tbl_5.3
Doreng,kunyit_turmeric_m2_m2,750,1.500,1.200,550,kunyit_turmeric,4,tbl_5.3
Mapitara,jahe_ginger_m2_m2,15.568,2.761,6.084,50.000,jahe_ginger,1,tbl_5.3
Mapitara,laos_lengkuas_galanga_m2_m2,4.953,1.608,2.464,11.500,laos_lengkuas,2,tbl_5.3
Mapitara,kencur_east_indian_galangal_m2_m2,3.405,957,722,15.500,kencur_east,3,tbl_5.3
Mapitara,kunyit_turmeric_m2_m2,18.026,9.960,5.058,25.000,kunyit_turmeric,4,tbl_5.3
Talibura,jahe_ginger_m2_m2,-,-,-,-,jahe_ginger,1,tbl_5.3
Talibura,laos_lengkuas_galanga_m2_m2,-,-,-,-,laos_lengkuas,2,tbl_5.3
Talibura,kencur_east_indian_galangal_m2_m2,-,-,-,-,kencur_east,3,tbl_5.3
Talibura,kunyit_turmeric_m2_m2,-,-,-,-,kunyit_turmeric,4,tbl_5.3
Waigete,jahe_ginger_m2_m2,0,2,1,-,jahe_ginger,1,tbl_5.3
Waigete,laos_lengkuas_galanga_m2_m2,0,1,-,-,laos_lengkuas,2,tbl_5.3
Waigete,kencur_east_indian_galangal_m2_m2,0,2,-,12,kencur_east,3,tbl_5.3
Waigete,kunyit_turmeric_m2_m2,0,2,-,38,kunyit_turmeric,4,tbl_5.3
Waiblama,jahe_ginger_m2_m2,1.005,75,75,1.900,jahe_ginger,1,tbl_5.3
Waiblama,laos_lengkuas_galanga_m2_m2,715,125,125,125,laos_lengkuas,2,tbl_5.3
Waiblama,kencur_east_indian_galangal_m2_m2,420,150,150,1.950,kencur_east,3,tbl_5.3
Waiblama,kunyit_turmeric_m2_m2,750,25,25,2.050,kunyit_turmeric,4,tbl_5.3
Kewapante,jahe_ginger_m2_m2,-,-,-,-,jahe_ginger,1,tbl_5.3
Kewapante,laos_lengkuas_galanga_m2_m2,-,-,-,-,laos_lengkuas,2,tbl_5.3
Kewapante,kencur_east_indian_galangal_m2_m2,-,-,-,-,kencur_east,3,tbl_5.3
Kewapante,kunyit_turmeric_m2_m2,-,-,-,-,kunyit_turmeric,4,tbl_5.3
Hewokloang,jahe_ginger_m2_m2,3.090,3.000,4.000,4.000,jahe_ginger,1,tbl_5.3
Hewokloang,laos_lengkuas_galanga_m2_m2,3.000,5.000,6.000,4.000,laos_lengkuas,2,tbl_5.3
Hewokloang,kencur_east_indian_galangal_m2_m2,3.050,5.000,6.000,3.000,kencur_east,3,tbl_5.3
Hewokloang,kunyit_turmeric_m2_m2,3.100,5.000,6.000,4.000,kunyit_turmeric,4,tbl_5.3
Kangae,jahe_ginger_m2_m2,450,600,-,-,jahe_ginger,1,tbl_5.3
Kangae,laos_lengkuas_galanga_m2_m2,900,450,-,-,laos_lengkuas,2,tbl_5.3
Kangae,kencur_east_indian_galangal_m2_m2,-,-,-,-,kencur_east,3,tbl_5.3
Kangae,kunyit_turmeric_m2_m2,15.075,8.325,-,-,kunyit_turmeric,4,tbl_5.3
Palue,jahe_ginger_m2_m2,158,14,1,1,jahe_ginger,1,tbl_5.3
Palue,laos_lengkuas_galanga_m2_m2,105,-,1,1,laos_lengkuas,2,tbl_5.3
Palue,kencur_east_indian_galangal_m2_m2,60,1,1,1,kencur_east,3,tbl_5.3
Palue,kunyit_turmeric_m2_m2,115,20,1,1,kunyit_turmeric,4,tbl_5.3
Koting,jahe_ginger_m2_m2,15,8,12,9,jahe_ginger,1,tbl_5.3
Koting,laos_lengkuas_galanga_m2_m2,7,7,-,-,laos_lengkuas,2,tbl_5.3
Koting,kencur_east_indian_galangal_m2_m2,4,2,1,-,kencur_east,3,tbl_5.3
Koting,kunyit_turmeric_m2_m2,7,13,9,4,kunyit_turmeric,4,tbl_5.3
Nelle,jahe_ginger_m2_m2,20,-,-,-,jahe_ginger,1,tbl_5.3
Nelle,laos_lengkuas_galanga_m2_m2,25,-,-,-,laos_lengkuas,2,tbl_5.3
Nelle,kencur_east_indian_galangal_m2_m2,8,-,-,-,kencur_east,3,tbl_5.3
Nelle,kunyit_turmeric_m2_m2,34,-,-,-,kunyit_turmeric,4,tbl_5.3
Nita,jahe_ginger_m2_m2,7.000,23.600,52.000,43.000,jahe_ginger,1,tbl_5.3
Nita,laos_lengkuas_galanga_m2_m2,7.300,21.500,27.000,20.000,laos_lengkuas,2,tbl_5.3
Nita,kencur_east_indian_galangal_m2_m2,3.900,6.300,6.000,4.000,kencur_east,3,tbl_5.3
Nita,kunyit_turmeric_m2_m2,4.700,11.600,27.000,20.000,kunyit_turmeric,4,tbl_5.3
Magepanda,jahe_ginger_m2_m2,3.840,2.790,2.540,1.347,jahe_ginger,1,tbl_5.3
Magepanda,laos_lengkuas_galanga_m2_m2,1.220,1.220,1.180,500,laos_lengkuas,2,tbl_5.3
Magepanda,kencur_east_indian_galangal_m2_m2,1.350,1.350,800,1.000,kencur_east,3,tbl_5.3
Magepanda,kunyit_turmeric_m2_m2,1.750,850,500,1.200,kunyit_turmeric,4,tbl_5.3
Alok,jahe_ginger_m2_m2,1.400,190,500,-,jahe_ginger,1,tbl_5.3
Alok,laos_lengkuas_galanga_m2_m2,1.308,795,-,733,laos_lengkuas,2,tbl_5.3
Alok,kencur_east_indian_galangal_m2_m2,375,-,-,-,kencur_east,3,tbl_5.3
Alok,kunyit_turmeric_m2_m2,2.200,1.175,1.675,1.100,kunyit_turmeric,4,tbl_5.3
Alok Barat,jahe_ginger_m2_m2,3,-,-,-,jahe_ginger,1,tbl_5.3
Alok Barat,laos_lengkuas_galanga_m2_m2,4,-,-,-,laos_lengkuas,2,tbl_5.3
Alok Barat,kencur_east_indian_galangal_m2_m2,-,-,-,-,kencur_east,3,tbl_5.3
Alok Barat,kunyit_turmeric_m2_m2,2,-,-,-,kunyit_turmeric,4,tbl_5.3
Alok Timur,jahe_ginger_m2_m2,-,-,-,5,jahe_ginger,1,tbl_5.3
Alok Timur,laos_lengkuas_galanga_m2_m2,-,-,-,5,laos_lengkuas,2,tbl_5.3
Alok Timur,kencur_east_indian_galangal_m2_m2,-,-,-,4,kencur_east,3,tbl_5.3
Alok Timur,kunyit_turmeric_m2_m2,-,-,-,6,kunyit_turmeric,4,tbl_5.3
Sikka,jahe_ginger_m2_m2,41.601,61.258,129.963,121.654,jahe_ginger,1,tbl_5.3
Sikka,laos_lengkuas_galanga_m2_m2,25.739,39.159,38.305,38.395,laos_lengkuas,2,tbl_5.3
Sikka,kencur_east_indian_galangal_m2_m2,21.214,28.945,30.296,27.480,kencur_east,3,tbl_5.3
Sikka,kunyit_turmeric_m2_m2,62.136,60.928,73.296,59.259,kunyit_turmeric,4,tbl_5.3
Paga,jahe_ginger_kg_kg,-,-,-,2,jahe_ginger,1,tbl_5.4
Paga,laos_lengkuas_galanga_kg_kg,-,-,-,-,laos_lengkuas,2,tbl_5.4
Paga,kencur_east_indian_galangal_kg_kg,-,-,-,-,kencur_east,3,tbl_5.4
Paga,kunyit_turmeric_kg_kg,-,-,-,-,kunyit_turmeric,4,tbl_5.4
Mego,jahe_ginger_kg_kg,8,9.960,2.710,1.092,jahe_ginger,1,tbl_5.4
Mego,laos_lengkuas_galanga_kg_kg,8,5.179,122,258,laos_lengkuas,2,tbl_5.4
Mego,kencur_east_indian_galangal_kg_kg,5,1.644,144,304,kencur_east,3,tbl_5.4
Mego,kunyit_turmeric_kg_kg,10,16.499,2.292,1.982,kunyit_turmeric,4,tbl_5.4
Tana Wawo,jahe_ginger_kg_kg,19.000,14.000,37.750,330,jahe_ginger,1,tbl_5.4
Tana Wawo,laos_lengkuas_galanga_kg_kg,7.300,5.410,700,220,laos_lengkuas,2,tbl_5.4
Tana Wawo,kencur_east_indian_galangal_kg_kg,9.300,23.800,22.800,260,kencur_east,3,tbl_5.4
Tana Wawo,kunyit_turmeric_kg_kg,20.750,10.450,26.300,410,kunyit_turmeric,4,tbl_5.4
Lela,jahe_ginger_kg_kg,1.500,10.000,950,230,jahe_ginger,1,tbl_5.4
Lela,laos_lengkuas_galanga_kg_kg,648,1.000,750,335,laos_lengkuas,2,tbl_5.4
Lela,kencur_east_indian_galangal_kg_kg,360,1.000,450,270,kencur_east,3,tbl_5.4
Lela,kunyit_turmeric_kg_kg,16.500,1.000,700,272,kunyit_turmeric,4,tbl_5.4
Bola,jahe_ginger_kg_kg,-,-,-,-,jahe_ginger,1,tbl_5.4
Bola,laos_lengkuas_galanga_kg_kg,-,-,-,-,laos_lengkuas,2,tbl_5.4
Bola,kencur_east_indian_galangal_kg_kg,-,-,-,-,kencur_east,3,tbl_5.4
Bola,kunyit_turmeric_kg_kg,-,-,-,-,kunyit_turmeric,4,tbl_5.4
Doreng,jahe_ginger_kg_kg,825,6.425,58.000,25.500,jahe_ginger,1,tbl_5.4
Doreng,laos_lengkuas_galanga_kg_kg,-,-,-,-,laos_lengkuas,2,tbl_5.4
Doreng,kencur_east_indian_galangal_kg_kg,196,1.700,600,525,kencur_east,3,tbl_5.4
Doreng,kunyit_turmeric_kg_kg,915,4.980,1.800,660,kunyit_turmeric,4,tbl_5.4
Mapitara,jahe_ginger_kg_kg,98.266,36.924,8.513,34.000,jahe_ginger,1,tbl_5.4
Mapitara,laos_lengkuas_galanga_kg_kg,9.013,3.229,2.834,15.000,laos_lengkuas,2,tbl_5.4
Mapitara,kencur_east_indian_galangal_kg_kg,6.744,1.822,929,15.700,kencur_east,3,tbl_5.4
Mapitara,kunyit_turmeric_kg_kg,23.841,23.786,22.944,34.500,kunyit_turmeric,4,tbl_5.4
Talibura,jahe_ginger_kg_kg,-,-,-,-,jahe_ginger,1,tbl_5.4
Talibura,laos_lengkuas_galanga_kg_kg,-,-,-,-,laos_lengkuas,2,tbl_5.4
Talibura,kencur_east_indian_galangal_kg_kg,-,-,-,-,kencur_east,3,tbl_5.4
Talibura,kunyit_turmeric_kg_kg,-,-,-,-,kunyit_turmeric,4,tbl_5.4
Waigete,jahe_ginger_kg_kg,0,11,1,-,jahe_ginger,1,tbl_5.4
Waigete,laos_lengkuas_galanga_kg_kg,0,5,-,-,laos_lengkuas,2,tbl_5.4
Waigete,kencur_east_indian_galangal_kg_kg,0,11,-,96,kencur_east,3,tbl_5.4
Waigete,kunyit_turmeric_kg_kg,0,11,-,96,kunyit_turmeric,4,tbl_5.4
Waiblama,jahe_ginger_kg_kg,242,272,203,590,jahe_ginger,1,tbl_5.4
Waiblama,laos_lengkuas_galanga_kg_kg,700,249,437,100,laos_lengkuas,2,tbl_5.4
Waiblama,kencur_east_indian_galangal_kg_kg,343,170,103,965,kencur_east,3,tbl_5.4
Waiblama,kunyit_turmeric_kg_kg,323,65,52,1.350,kunyit_turmeric,4,tbl_5.4
Kewapante,jahe_ginger_kg_kg,-,-,-,-,jahe_ginger,1,tbl_5.4
Kewapante,laos_lengkuas_galanga_kg_kg,-,-,-,-,laos_lengkuas,2,tbl_5.4
Kewapante,kencur_east_indian_galangal_kg_kg,-,-,-,-,kencur_east,3,tbl_5.4
Kewapante,kunyit_turmeric_kg_kg,-,-,-,-,kunyit_turmeric,4,tbl_5.4
Hewokloang,jahe_ginger_kg_kg,5.790,12.000,6.000,4.000,jahe_ginger,1,tbl_5.4
Hewokloang,laos_lengkuas_galanga_kg_kg,3.000,27.900,9.000,4.000,laos_lengkuas,2,tbl_5.4
Hewokloang,kencur_east_indian_galangal_kg_kg,5.100,27.400,9.000,3.000,kencur_east,3,tbl_5.4
Hewokloang,kunyit_turmeric_kg_kg,6.200,30.500,9.000,4.000,kunyit_turmeric,4,tbl_5.4
Kangae,jahe_ginger_kg_kg,675,600,-,-,jahe_ginger,1,tbl_5.4
Kangae,laos_lengkuas_galanga_kg_kg,520,1.575,-,-,laos_lengkuas,2,tbl_5.4
Kangae,kencur_east_indian_galangal_kg_kg,-,-,-,-,kencur_east,3,tbl_5.4
Kangae,kunyit_turmeric_kg_kg,7.500,12.487,-,-,kunyit_turmeric,4,tbl_5.4
Palue,jahe_ginger_kg_kg,420,35,1,2,jahe_ginger,1,tbl_5.4
Palue,laos_lengkuas_galanga_kg_kg,520,-,1,3,laos_lengkuas,2,tbl_5.4
Palue,kencur_east_indian_galangal_kg_kg,150,1,1,4,kencur_east,3,tbl_5.4
Palue,kunyit_turmeric_kg_kg,210,78,1,3,kunyit_turmeric,4,tbl_5.4
Koting,jahe_ginger_kg_kg,261,54,39,37,jahe_ginger,1,tbl_5.4
Koting,laos_lengkuas_galanga_kg_kg,16,27,-,-,laos_lengkuas,2,tbl_5.4
Koting,kencur_east_indian_galangal_kg_kg,4,4,3,-,kencur_east,3,tbl_5.4
Koting,kunyit_turmeric_kg_kg,10,62,33,9,kunyit_turmeric,4,tbl_5.4
Nelle,jahe_ginger_kg_kg,40,-,-,-,jahe_ginger,1,tbl_5.4
Nelle,laos_lengkuas_galanga_kg_kg,80,-,-,-,laos_lengkuas,2,tbl_5.4
Nelle,kencur_east_indian_galangal_kg_kg,20,-,-,-,kencur_east,3,tbl_5.4
Nelle,kunyit_turmeric_kg_kg,150,-,-,-,kunyit_turmeric,4,tbl_5.4
Nita,jahe_ginger_kg_kg,14.503,57.938,176.000,104.500,jahe_ginger,1,tbl_5.4
Nita,laos_lengkuas_galanga_kg_kg,35.605,81.900,218.500,79.400,laos_lengkuas,2,tbl_5.4
