wil_code_kec,r505a,jml_desa,r05a_ket
T010,1,8,Jamban Sendiri
T011,1,10,Jamban Sendiri
T012,1,7,Jamban Sendiri
T012,2,1,Jamban Bersama
T020,1,9,Jamban Sendiri
T030,1,6,Jamban Sendiri
T031,1,7,Jamban Sendiri
T032,1,4,Jamban Sendiri
T040,1,12,Jamban Sendiri
T041,1,9,Jamban Sendiri
T042,1,6,Jamban Sendiri
T050,1,8,Jamban Sendiri
T051,1,7,Jamban Sendiri
T052,1,9,Jamban Sendiri
T061,1,8,Jamban Sendiri
T062,1,6,Jamban Sendiri
T063,1,5,Jamban Sendiri
T070,1,12,Jamban Sendiri
T071,1,5,Jamban Sendiri
T080,1,7,Jamban Sendiri
T081,1,4,Jamban Sendiri
T082,1,10,Jamban Sendiri
