kec,name,Negeri,Swasta,Jumlah
Alok,murid,66,274,340
Alok,guru,5,22,27
Alok,sekolah,1,5,6
Alok Barat,murid,57,163,220
Alok Barat,guru,7,11,18
Alok Barat,sekolah,1,3,4
Alok Timur,murid,68,335,403
Alok Timur,guru,4,27,31
Alok Timur,sekolah,1,7,8
Bola,murid,24,0,24
Bola,guru,2,0,2
Bola,sekolah,1,0,1
Doreng,murid,0,8,8
Doreng,guru,0,2,2
Doreng,sekolah,0,1,1
Hewokloang,murid,0,63,63
Hewokloang,guru,0,9,9
Hewokloang,sekolah,0,5,5
Kangae,murid,42,196,238
Kangae,guru,4,16,20
Kangae,sekolah,1,5,6
Kewapante,murid,0,141,141
Kewapante,guru,0,9,9
Kewapante,sekolah,0,4,4
Koting,murid,0,34,34
Koting,guru,0,3,3
Koting,sekolah,0,1,1
Lela,murid,0,117,117
Lela,guru,0,8,8
Lela,sekolah,0,6,6
Magependa,murid,36,134,170
Magependa,guru,5,6,11
Magependa,sekolah,1,2,3
Mapitara,murid,0,23,23
Mapitara,guru,0,3,3
Mapitara,sekolah,0,1,1
Mego,murid,0,94,94
Mego,guru,0,7,7
Mego,sekolah,0,3,3
Nelle,murid,0,48,48
Nelle,guru,0,4,4
Nelle,sekolah,0,2,2
Nita,murid,25,265,290
Nita,guru,3,20,23
Nita,sekolah,1,10,11
Paga,murid,46,107,153
Paga,guru,3,8,11
Paga,sekolah,1,2,3
Talibura,murid,50,142,192
Talibura,guru,5,16,21
Talibura,sekolah,1,8,9
Tana Wawo,murid,0,24,24
Tana Wawo,guru,0,4,4
Tana Wawo,sekolah,0,1,1
Waiblama,murid,0,30,30
Waiblama,guru,0,2,2
Waiblama,sekolah,0,1,1
Waigete,murid,30,399,429
Waigete,guru,3,23,26
Waigete,sekolah,1,15,16
